"""Speedy service at its finest. The interstellar express lane never disappoints!""",5
"""Quick as a shooting star! Departure process smooth as silk. Kudos!""",5
"""Whizzed through the process. Departure achieved in a celestial instant. Well done!""",4
"""Blazingly efficient! Departure gate conquered in record time. Impressed and ready to fly!""",4
"""Fairly standard service. Departure handled within a typical timeframe. Room for optimisation.""",3
"""Average speed, average experience. Departure procedures met expectations, nothing more.""",3
"""Delayed departure, shattered dreams. Your inefficiency turned my cosmic journey into a nightmare.""",2
"""Snail-paced service. By the time I boarded, my spaceship had already rusted.""",2
"""Seriously? I could've grown a galaxy while waiting. Missed my flight, thanks a lot.""",1
"""Unbelievably sluggish. Departure delayed so long, I aged a millennium. Epic fail.""",1
